 1FM6_A 1GWQ_A 1L2I_A 1MZN_C 1PZL_A 1RDT_A 1RKG_A 1T5Z_A 1T65_A 1T73_A 1T74_A 1T79_A 1T7F_A 1T7M_A 1T7R_A 1TFC_A 1TFC_B 1XB7_A 1XIU_B 1YUC_B 1ZDT_B 1ZKY_A 2AO6_A 2B1Z_A 2GPO_A 2J7X_A 2J7Y_A 2P15_A 2Q3Y_A 2Q7I_A 2QR9_B 2QSE_A 2QZO_A 2ZFX_A 2ZLA_A 3A2H_A 3BEJ_A 3BEJ_B 3BQD_A 3D24_C 3F7D_A 3FS1_A 3GYT_A 3IPS_A 3IPU_B 3L03_A 3L0E_A 3L3X_A 3L3Z_A 3MNO_A 3OLS_A 3OMK_C 3P89_A 3Q97_B 3V49_A 3VRV_A 3VT3_A 3VT7_A 3W0G_A 3W0I_A 4DK7_A 4DM8_B 4IUI_B 4J24_D 4JYG_B 4JYI_A 4JYI_B 4MG7_A 4MG8_A 4MG9_B 4OAR_A 4OEY_A 4OEZ_A 4OFR_A 4OFU_A 4OHA_A 4OK1_A 4OKT_A 4OKX_A 4ONI_B 4P6W_A 4PPS_A 4PXM_A 4PXM_B 4Q13_B 4QJR_A 4UDA_A 4ZI1_A 4ZN9_B 4ZNH_B 4ZNT_B 4ZUB_A
4MG8_A 0.29 0.96 0.96 0.28 0.23 0.28 0.21 0.20 0.20 0.20 0.20 0.20 0.20 0.20 0.20 0.35 0.35 0.30 0.26 0.24 0.24 0.97 0.20 0.97 0.35 0.58 0.57 0.98 0.23 0.21 0.98 0.97 0.94 0.21 0.21 0.21 0.18 0.18 0.26 0.30 0.21 0.22 0.12 0.17 0.17 0.97 0.17 0.19 0.19 0.23 0.57 0.18 0.18 1.00 0.21 0.21 0.20 0.21 0.21 0.21 0.18 0.20 0.91 0.56 0.20 0.20 0.20 0.99 1.00 0.95 0.22 0.20 0.20 0.20 0.21 0.20 0.19 0.20 0.20 0.24 0.25 0.98 0.94 0.93 0.93 0.23 0.25 0.57 0.95 0.94 0.96 0.98
4MG9_B 0.29 0.93 0.97 0.29 0.23 0.28 0.20 0.19 0.19 0.19 0.19 0.19 0.19 0.19 0.19 0.35 0.35 0.31 0.27 0.24 0.23 0.97 0.19 0.99 0.35 0.60 0.59 0.94 0.22 0.19 0.94 0.94 0.96 0.20 0.21 0.21 0.19 0.19 0.23 0.31 0.21 0.23 0.11 0.19 0.18 0.97 0.17 0.18 0.18 0.22 0.58 0.19 0.19 0.96 0.19 0.21 0.19 0.21 0.21 0.20 0.19 0.21 0.93 0.57 0.19 0.20 0.20 0.95 0.95 1.00 0.21 0.20 0.19 0.19 0.20 0.19 0.18 0.19 0.19 0.24 0.22 0.96 0.96 0.96 0.95 0.23 0.23 0.59 0.94 0.97 0.95 0.96
4OAR_A 0.17 0.21 0.22 0.16 0.20 0.16 0.17 0.52 0.51 0.52 0.52 0.52 0.52 0.52 0.52 0.21 0.21 0.20 0.15 0.20 0.19 0.22 0.53 0.22 0.21 0.24 0.23 0.21 0.62 0.53 0.22 0.21 0.22 0.17 0.16 0.16 0.15 0.15 0.51 0.21 0.18 0.20 0.10 0.14 0.14 0.22 0.12 0.52 0.51 0.52 0.23 0.15 0.15 0.22 0.52 0.16 0.16 0.17 0.16 0.16 0.12 0.15 0.21 0.22 0.14 0.14 0.14 0.22 0.22 0.21 1.00 0.53 0.53 0.53 0.53 0.53 0.51 0.52 0.52 0.19 0.51 0.22 0.22 0.20 0.20 0.19 0.54 0.23 0.22 0.21 0.22 0.22
4OEY_A 0.19 0.20 0.21 0.19 0.19 0.19 0.14 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.20 0.20 0.21 0.18 0.17 0.17 0.20 0.99 0.20 0.20 0.24 0.23 0.20 0.60 0.99 0.21 0.20 0.20 0.14 0.14 0.13 0.15 0.15 0.49 0.21 0.20 0.19 0.12 0.19 0.19 0.20 0.17 0.96 0.96 0.48 0.22 0.16 0.15 0.21 0.98 0.14 0.14 0.13 0.14 0.14 0.16 0.15 0.20 0.22 0.15 0.15 0.15 0.20 0.20 0.20 0.53 1.00 1.00 0.99 1.00 0.99 0.96 0.97 0.99 0.16 0.50 0.20 0.20 0.19 0.20 0.17 0.52 0.22 0.20 0.20 0.20 0.20
4OEZ_A 0.19 0.20 0.21 0.19 0.19 0.19 0.14 0.96 0.96 0.96 0.97 0.96 0.96 0.97 0.96 0.20 0.20 0.21 0.17 0.18 0.17 0.20 0.99 0.20 0.20 0.24 0.23 0.20 0.60 0.99 0.21 0.20 0.20 0.14 0.14 0.14 0.15 0.16 0.49 0.21 0.19 0.19 0.12 0.19 0.19 0.20 0.17 0.96 0.97 0.48 0.22 0.17 0.15 0.21 0.98 0.14 0.14 0.14 0.15 0.15 0.16 0.14 0.19 0.22 0.14 0.14 0.14 0.20 0.20 0.19 0.53 1.00 1.00 0.99 1.00 0.99 0.97 0.97 0.99 0.18 0.50 0.20 0.20 0.19 0.19 0.17 0.52 0.22 0.20 0.19 0.20 0.21
4OFR_A 0.19 0.20 0.21 0.19 0.19 0.19 0.14 0.97 0.96 0.97 0.97 0.97 0.97 0.97 0.97 0.20 0.20 0.21 0.18 0.18 0.19 0.20 0.99 0.20 0.20 0.23 0.23 0.20 0.60 0.98 0.21 0.20 0.20 0.14 0.14 0.14 0.15 0.15 0.49 0.21 0.20 0.19 0.12 0.19 0.19 0.20 0.17 0.97 0.97 0.48 0.22 0.16 0.15 0.21 0.99 0.14 0.14 0.14 0.14 0.14 0.16 0.14 0.19 0.22 0.14 0.14 0.14 0.20 0.20 0.19 0.53 0.99 0.99 1.00 0.99 0.99 0.97 0.98 0.98 0.18 0.50 0.20 0.20 0.19 0.19 0.18 0.52 0.22 0.20 0.19 0.20 0.21
4OFU_A 0.19 0.20 0.21 0.19 0.19 0.19 0.14 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.20 0.20 0.21 0.18 0.18 0.17 0.20 0.99 0.20 0.20 0.24 0.23 0.20 0.60 0.99 0.21 0.21 0.20 0.13 0.14 0.13 0.15 0.15 0.49 0.21 0.20 0.19 0.12 0.19 0.19 0.20 0.17 0.96 0.96 0.48 0.22 0.16 0.15 0.21 0.98 0.14 0.14 0.14 0.14 0.14 0.16 0.15 0.20 0.22 0.15 0.15 0.15 0.21 0.21 0.20 0.53 1.00 1.00 0.99 1.00 0.99 0.96 0.97 0.99 0.18 0.50 0.20 0.20 0.19 0.19 0.17 0.52 0.22 0.20 0.20 0.20 0.21
4OHA_A 0.19 0.20 0.21 0.19 0.19 0.19 0.14 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.96 0.20 0.20 0.21 0.18 0.17 0.18 0.20 0.99 0.20 0.20 0.24 0.23 0.20 0.60 0.99 0.21 0.21 0.20 0.14 0.14 0.13 0.15 0.15 0.49 0.21 0.19 0.19 0.12 0.19 0.19 0.20 0.17 0.96 0.96 0.48 0.22 0.16 0.15 0.21 0.98 0.14 0.14 0.13 0.14 0.14 0.16 0.14 0.19 0.22 0.15 0.14 0.14 0.20 0.20 0.19 0.53 0.99 0.99 0.99 0.99 1.00 0.96 0.96 0.98 0.17 0.50 0.20 0.20 0.19 0.19 0.17 0.52 0.22 0.20 0.19 0.20 0.20
4OK1_A 0.18 0.19 0.19 0.18 0.18 0.18 0.14 0.99 0.98 0.99 0.99 0.99 0.99 0.99 0.99 0.19 0.18 0.20 0.17 0.18 0.17 0.19 0.96 0.19 0.19 0.22 0.22 0.19 0.59 0.96 0.19 0.19 0.18 0.14 0.14 0.14 0.16 0.16 0.49 0.20 0.18 0.18 0.11 0.18 0.18 0.19 0.18 0.99 0.99 0.48 0.21 0.17 0.16 0.20 0.97 0.14 0.14 0.14 0.14 0.14 0.16 0.14 0.18 0.21 0.14 0.14 0.14 0.19 0.19 0.18 0.51 0.96 0.97 0.97 0.96 0.96 1.00 0.99 0.96 0.17 0.50 0.19 0.19 0.18 0.18 0.18 0.51 0.21 0.19 0.18 0.19 0.19
4OKT_A 0.18 0.19 0.20 0.19 0.19 0.19 0.14 0.98 0.98 0.98 0.99 0.98 0.98 0.99 0.98 0.19 0.19 0.20 0.17 0.17 0.18 0.19 0.97 0.19 0.19 0.23 0.23 0.19 0.59 0.96 0.20 0.19 0.19 0.14 0.14 0.13 0.16 0.16 0.49 0.20 0.19 0.19 0.12 0.19 0.19 0.19 0.18 0.98 0.98 0.48 0.22 0.17 0.16 0.20 0.97 0.14 0.14 0.14 0.14 0.14 0.16 0.15 0.19 0.22 0.15 0.14 0.15 0.20 0.20 0.19 0.52 0.97 0.97 0.98 0.97 0.96 0.99 1.00 0.97 0.17 0.50 0.20 0.19 0.18 0.19 0.17 0.51 0.22 0.19 0.19 0.19 0.20
4OKX_A 0.18 0.19 0.20 0.18 0.19 0.18 0.14 0.95 0.95 0.95 0.96 0.95 0.95 0.96 0.95 0.20 0.20 0.21 0.17 0.17 0.17 0.20 0.98 0.20 0.20 0.23 0.23 0.19 0.59 0.98 0.20 0.20 0.20 0.13 0.14 0.13 0.15 0.15 0.48 0.21 0.19 0.19 0.12 0.19 0.19 0.20 0.17 0.95 0.96 0.48 0.22 0.16 0.15 0.20 0.98 0.14 0.14 0.13 0.14 0.14 0.16 0.14 0.19 0.22 0.14 0.14 0.14 0.20 0.20 0.19 0.52 0.99 0.99 0.98 0.99 0.98 0.96 0.97 1.00 0.15 0.49 0.20 0.20 0.19 0.19 0.17 0.52 0.22 0.20 0.19 0.20 0.20
4ONI_B 0.32 0.24 0.24 0.33 0.26 0.33 0.19 0.17 0.17 0.17 0.18 0.17 0.17 0.18 0.17 0.28 0.28 0.26 0.32 0.99 0.60 0.24 0.17 0.24 0.28 0.22 0.22 0.24 0.18 0.16 0.24 0.24 0.25 0.19 0.19 0.19 0.18 0.19 0.18 0.26 0.58 0.26 0.12 0.19 0.20 0.25 0.21 0.18 0.18 0.17 0.22 0.17 0.19 0.24 0.18 0.19 0.18 0.19 0.19 0.19 0.20 0.21 0.24 0.22 0.21 0.20 0.20 0.24 0.24 0.24 0.19 0.16 0.18 0.18 0.18 0.17 0.17 0.17 0.15 1.00 0.18 0.24 0.24 0.24 0.24 0.60 0.17 0.22 0.24 0.24 0.24 0.24
4P6W_A 0.19 0.24 0.23 0.18 0.19 0.18 0.14 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.22 0.22 0.23 0.17 0.18 0.18 0.23 0.50 0.23 0.22 0.24 0.24 0.25 0.64 0.50 0.25 0.25 0.23 0.15 0.15 0.15 0.16 0.17 0.96 0.23 0.17 0.18 0.13 0.17 0.17 0.23 0.17 0.50 0.50 0.89 0.23 0.17 0.15 0.25 0.50 0.14 0.15 0.14 0.15 0.16 0.15 0.15 0.22 0.23 0.14 0.14 0.14 0.25 0.25 0.22 0.51 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.49 0.18 1.00 0.25 0.23 0.21 0.22 0.17 0.55 0.24 0.23 0.22 0.25 0.23
4PPS_A 0.29 0.95 0.97 0.28 0.23 0.27 0.20 0.20 0.20 0.20 0.20 0.20 0.20 0.20 0.20 0.34 0.34 0.30 0.26 0.24 0.24 0.98 0.20 0.97 0.34 0.59 0.58 0.97 0.23 0.20 0.98 0.97 0.95 0.20 0.21 0.21 0.17 0.17 0.25 0.29 0.21 0.22 0.12 0.18 0.18 0.98 0.18 0.20 0.19 0.23 0.58 0.18 0.17 0.98 0.20 0.21 0.20 0.21 0.21 0.21 0.18 0.21 0.92 0.57 0.20 0.20 0.21 0.98 0.98 0.96 0.22 0.20 0.20 0.20 0.20 0.20 0.19 0.20 0.20 0.24 0.25 1.00 0.95 0.94 0.94 0.23 0.23 0.58 0.96 0.95 0.97 0.99
4PXM_A 0.29 0.92 0.97 0.28 0.23 0.28 0.22 0.20 0.20 0.20 0.20 0.20 0.20 0.20 0.20 0.36 0.36 0.31 0.27 0.24 0.23 0.95 0.20 0.97 0.36 0.60 0.60 0.93 0.22 0.20 0.94 0.93 0.95 0.21 0.22 0.22 0.17 0.18 0.23 0.31 0.21 0.23 0.11 0.19 0.18 0.96 0.18 0.19 0.19 0.22 0.60 0.18 0.18 0.94 0.20 0.22 0.21 0.23 0.22 0.22 0.18 0.19 0.93 0.59 0.18 0.18 0.19 0.94 0.94 0.96 0.22 0.20 0.20 0.20 0.20 0.20 0.19 0.19 0.20 0.24 0.23 0.95 1.00 0.97 0.97 0.23 0.23 0.60 0.96 0.96 0.94 0.96
4PXM_B 0.28 0.93 0.95 0.29 0.23 0.28 0.20 0.18 0.18 0.18 0.18 0.18 0.18 0.18 0.18 0.35 0.35 0.31 0.27 0.23 0.24 0.94 0.19 0.95 0.35 0.60 0.61 0.93 0.21 0.19 0.92 0.93 0.94 0.21 0.21 0.21 0.17 0.17 0.22 0.31 0.21 0.23 0.12 0.19 0.17 0.95 0.17 0.18 0.18 0.21 0.59 0.18 0.17 0.93 0.19 0.21 0.20 0.22 0.21 0.21 0.17 0.20 0.93 0.59 0.18 0.18 0.18 0.92 0.93 0.96 0.20 0.19 0.19 0.19 0.19 0.19 0.18 0.18 0.19 0.24 0.21 0.94 0.97 1.00 0.99 0.23 0.22 0.59 0.94 0.97 0.93 0.95
4Q13_B 0.28 0.92 0.95 0.29 0.23 0.28 0.21 0.18 0.18 0.18 0.19 0.18 0.18 0.18 0.18 0.35 0.35 0.31 0.27 0.24 0.24 0.93 0.19 0.94 0.35 0.60 0.61 0.93 0.21 0.19 0.93 0.92 0.94 0.21 0.21 0.21 0.18 0.18 0.23 0.31 0.21 0.22 0.12 0.19 0.17 0.94 0.17 0.18 0.18 0.21 0.59 0.18 0.18 0.93 0.19 0.21 0.20 0.22 0.21 0.21 0.17 0.19 0.93 0.59 0.18 0.18 0.18 0.92 0.93 0.95 0.20 0.20 0.19 0.19 0.19 0.19 0.18 0.19 0.19 0.24 0.22 0.94 0.97 0.99 1.00 0.23 0.22 0.59 0.94 0.96 0.93 0.95
4QJR_A 0.30 0.23 0.23 0.27 0.25 0.27 0.17 0.17 0.17 0.17 0.17 0.17 0.17 0.18 0.17 0.25 0.25 0.23 0.28 0.60 0.98 0.23 0.17 0.23 0.25 0.22 0.21 0.23 0.19 0.18 0.23 0.23 0.23 0.18 0.18 0.18 0.16 0.16 0.18 0.24 0.89 0.25 0.14 0.22 0.22 0.23 0.22 0.18 0.17 0.18 0.21 0.15 0.16 0.23 0.18 0.18 0.17 0.18 0.18 0.18 0.23 0.22 0.23 0.21 0.21 0.21 0.22 0.23 0.23 0.23 0.19 0.17 0.17 0.18 0.17 0.17 0.18 0.17 0.17 0.60 0.17 0.23 0.23 0.23 0.23 1.00 0.18 0.21 0.23 0.23 0.23 0.23
4UDA_A 0.20 0.23 0.24 0.19 0.17 0.19 0.14 0.51 0.51 0.51 0.51 0.51 0.51 0.51 0.51 0.21 0.21 0.23 0.20 0.16 0.19 0.24 0.52 0.23 0.21 0.25 0.24 0.24 0.74 0.52 0.23 0.24 0.24 0.14 0.15 0.14 0.19 0.19 0.55 0.23 0.19 0.17 0.11 0.19 0.19 0.23 0.18 0.51 0.51 0.54 0.24 0.19 0.19 0.24 0.52 0.14 0.14 0.14 0.14 0.14 0.20 0.17 0.23 0.24 0.17 0.17 0.17 0.25 0.25 0.23 0.54 0.52 0.52 0.52 0.52 0.52 0.51 0.51 0.52 0.17 0.55 0.23 0.23 0.22 0.22 0.18 1.00 0.25 0.23 0.23 0.24 0.24
4ZI1_A 0.29 0.57 0.59 0.27 0.23 0.27 0.17 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.34 0.33 0.33 0.28 0.22 0.21 0.58 0.22 0.59 0.34 0.91 0.91 0.57 0.25 0.22 0.57 0.57 0.58 0.17 0.18 0.18 0.17 0.17 0.23 0.33 0.19 0.24 0.10 0.18 0.18 0.58 0.18 0.22 0.22 0.22 0.97 0.17 0.17 0.57 0.22 0.18 0.17 0.18 0.17 0.17 0.18 0.18 0.56 0.96 0.18 0.18 0.18 0.56 0.57 0.59 0.23 0.22 0.22 0.22 0.22 0.22 0.21 0.22 0.22 0.22 0.24 0.58 0.60 0.59 0.59 0.21 0.25 1.00 0.58 0.58 0.56 0.58
4ZN9_B 0.28 0.92 0.96 0.27 0.23 0.27 0.21 0.20 0.20 0.20 0.20 0.20 0.20 0.20 0.20 0.34 0.34 0.30 0.26 0.23 0.24 0.96 0.20 0.96 0.34 0.59 0.58 0.94 0.22 0.20 0.95 0.94 0.94 0.21 0.21 0.21 0.17 0.17 0.23 0.30 0.21 0.22 0.11 0.18 0.17 0.97 0.18 0.20 0.20 0.22 0.57 0.19 0.17 0.95 0.20 0.22 0.20 0.22 0.21 0.21 0.18 0.20 0.91 0.57 0.19 0.19 0.19 0.95 0.95 0.94 0.22 0.20 0.20 0.20 0.20 0.20 0.19 0.19 0.20 0.24 0.23 0.96 0.96 0.94 0.94 0.23 0.23 0.58 1.00 0.94 0.94 0.97
4ZNH_B 0.29 0.92 0.96 0.29 0.24 0.29 0.21 0.19 0.19 0.19 0.19 0.19 0.19 0.19 0.19 0.35 0.35 0.32 0.27 0.24 0.24 0.95 0.19 0.97 0.35 0.60 0.60 0.93 0.22 0.19 0.93 0.93 0.96 0.21 0.21 0.21 0.18 0.18 0.23 0.32 0.21 0.23 0.12 0.19 0.18 0.97 0.18 0.18 0.18 0.21 0.58 0.19 0.18 0.94 0.19 0.22 0.20 0.22 0.21 0.21 0.18 0.20 0.94 0.58 0.20 0.19 0.20 0.93 0.94 0.97 0.21 0.20 0.19 0.19 0.20 0.19 0.18 0.19 0.19 0.24 0.22 0.95 0.96 0.97 0.96 0.23 0.23 0.58 0.94 1.00 0.95 0.96
4ZNT_B 0.28 0.93 0.96 0.27 0.23 0.27 0.21 0.19 0.19 0.19 0.19 0.19 0.19 0.20 0.19 0.34 0.34 0.30 0.26 0.23 0.23 0.96 0.20 0.97 0.34 0.57 0.56 0.95 0.23 0.20 0.96 0.95 0.94 0.21 0.21 0.21 0.17 0.18 0.26 0.30 0.22 0.22 0.11 0.18 0.17 0.97 0.18 0.19 0.19 0.24 0.55 0.18 0.17 0.96 0.20 0.21 0.20 0.22 0.21 0.21 0.18 0.20 0.91 0.55 0.20 0.20 0.20 0.96 0.96 0.95 0.22 0.20 0.20 0.20 0.20 0.20 0.19 0.19 0.20 0.24 0.25 0.97 0.94 0.93 0.93 0.23 0.24 0.56 0.94 0.95 1.00 0.97
4ZUB_A 0.28 0.95 0.98 0.28 0.23 0.27 0.21 0.20 0.20 0.20 0.20 0.20 0.20 0.20 0.20 0.35 0.35 0.30 0.26 0.24 0.24 0.98 0.20 0.97 0.35 0.59 0.59 0.97 0.23 0.20 0.98 0.97 0.95 0.21 0.21 0.21 0.17 0.17 0.24 0.30 0.22 0.22 0.12 0.18 0.17 0.99 0.17 0.20 0.19 0.22 0.58 0.18 0.17 0.98 0.20 0.21 0.20 0.22 0.21 0.21 0.19 0.21 0.93 0.57 0.20 0.21 0.21 0.97 0.98 0.96 0.22 0.20 0.21 0.21 0.21 0.20 0.19 0.20 0.20 0.24 0.23 0.99 0.96 0.95 0.95 0.23 0.24 0.58 0.97 0.96 0.97 1.00
