 1A3E_H 1A4W_H 1BB0_B 1BBR_N 1C4U_2 1D3D_B 1DE7_K 1DM4_B 1EB1_H 1EKB_B 1F2S_E 1FIW_A 1FPH_H 1G9I_E 1GI9_B 1GJ9_B 1H9I_E 1HXF_H 1LHG_H 1LMW_D 1MCT_A 1NRR_H 1O3P_B 1OX1_A 1OYT_H 1PPE_E 1QUR_H 1SBW_A 1SFI_A 1SMF_E 1TBZ_H 1THR_H 1THS_H 1UVT_H 1VZQ_H 1W7G_H 1YF4_A 2ANM_H 2BTC_E 2CV3_A 2F91_A 2HGT_H 2NWN_A 2O9Q_A 2STA_E 2STB_E 2ZC9_H 2ZGH_A 2ZGJ_A 3C27_B 3DA9_B 3IG6_D 3K2U_A 3M61_U 3P6Z_B 3QN7_A 3S9C_A 3TJV_A 3TVJ_B 3U8O_H 3VXE_H 4AOQ_C 4AOR_C 4AX9_H 4BAH_B 4BAO_B 4CH2_D 4CH8_B 4E05_H 4GLY_A 4GUX_C 4K1E_A 4KEL_A 4KTS_A 4MNY_B 4X1Q_U 4X1S_U 4X6N_A 4XOJ_A 4YES_B 4ZHL_U 4ZJ4_A 4ZJ5_A 4ZJ6_A 4ZKS_U
4MNY_B 0.28 0.28 0.28 0.27 0.28 0.28 0.28 0.28 0.28 0.31 0.34 0.31 0.27 0.34 0.99 0.98 0.32 0.28 0.28 0.97 0.33 0.28 0.98 0.34 0.28 0.34 0.28 0.34 0.34 0.34 0.28 0.28 0.28 0.28 0.28 0.28 0.32 0.28 0.34 0.29 0.31 0.28 0.98 0.34 0.31 0.31 0.28 0.30 0.30 0.28 0.28 0.97 0.36 0.99 0.27 1.00 0.29 0.26 0.28 0.28 0.28 0.34 0.34 0.28 0.28 0.29 0.28 0.28 0.28 1.00 0.35 0.32 0.32 0.34 1.00 0.99 0.99 0.32 0.34 0.28 0.99 0.32 0.32 0.32 0.99
4X1Q_U 0.29 0.28 0.28 0.27 0.28 0.28 0.28 0.28 0.28 0.32 0.34 0.31 0.28 0.34 0.98 0.98 0.32 0.28 0.28 0.98 0.32 0.28 0.98 0.34 0.28 0.34 0.28 0.34 0.34 0.34 0.28 0.28 0.28 0.28 0.28 0.28 0.32 0.28 0.34 0.29 0.31 0.28 0.97 0.34 0.31 0.31 0.28 0.30 0.30 0.28 0.28 0.96 0.36 1.00 0.27 0.99 0.28 0.26 0.28 0.28 0.28 0.34 0.34 0.28 0.28 0.29 0.28 0.28 0.28 0.99 0.34 0.32 0.32 0.34 0.99 1.00 1.00 0.32 0.34 0.28 1.00 0.32 0.32 0.32 0.99
4X1S_U 0.29 0.28 0.28 0.27 0.28 0.28 0.28 0.28 0.28 0.31 0.34 0.31 0.28 0.34 0.98 0.98 0.32 0.28 0.28 0.97 0.33 0.28 0.98 0.34 0.28 0.34 0.28 0.34 0.34 0.34 0.28 0.28 0.28 0.28 0.28 0.28 0.32 0.28 0.34 0.29 0.31 0.28 0.97 0.34 0.31 0.31 0.28 0.30 0.30 0.28 0.28 0.97 0.36 0.99 0.27 0.99 0.28 0.26 0.28 0.28 0.28 0.34 0.34 0.28 0.28 0.29 0.28 0.28 0.28 0.99 0.34 0.32 0.32 0.34 0.99 1.00 1.00 0.32 0.34 0.28 1.00 0.32 0.32 0.32 0.99
4X6N_A 0.34 0.35 0.34 0.34 0.35 0.35 0.35 0.34 0.34 0.38 0.34 0.36 0.33 0.34 0.32 0.32 0.37 0.35 0.35 0.32 0.34 0.35 0.32 0.34 0.35 0.34 0.34 0.34 0.34 0.34 0.35 0.35 0.35 0.36 0.35 0.35 0.34 0.35 0.34 0.35 0.40 0.34 0.33 0.37 0.32 0.32 0.35 0.29 0.29 0.35 0.35 0.33 0.33 0.32 0.34 0.32 0.28 0.29 0.32 0.35 0.34 0.37 0.37 0.35 0.35 0.35 0.35 0.35 0.34 0.32 0.37 0.30 0.30 0.34 0.32 0.32 0.32 1.00 0.37 0.35 0.32 0.66 0.66 0.66 0.32
4XOJ_A 0.33 0.34 0.34 0.32 0.34 0.34 0.34 0.33 0.33 0.35 0.97 0.31 0.32 0.97 0.34 0.34 0.82 0.34 0.34 0.33 0.79 0.34 0.34 0.97 0.34 0.97 0.33 0.97 0.97 0.97 0.34 0.34 0.34 0.34 0.34 0.34 0.80 0.34 0.97 0.36 0.42 0.34 0.35 1.00 0.62 0.62 0.34 0.31 0.31 0.34 0.34 0.35 0.37 0.34 0.33 0.34 0.38 0.33 0.33 0.34 0.33 1.00 1.00 0.34 0.34 0.34 0.34 0.34 0.34 0.34 1.00 0.41 0.41 0.97 0.34 0.34 0.34 0.37 1.00 0.34 0.34 0.38 0.38 0.38 0.34
4YES_B 0.98 0.98 0.99 0.86 1.00 0.99 1.00 1.00 0.97 0.33 0.34 0.31 0.96 0.34 0.28 0.28 0.35 0.98 0.99 0.28 0.35 0.99 0.28 0.34 0.99 0.34 0.97 0.34 0.34 0.34 1.00 1.00 1.00 0.86 0.99 1.00 0.35 0.99 0.34 0.29 0.32 1.00 0.28 0.34 0.33 0.33 1.00 0.26 0.26 0.99 1.00 0.29 0.30 0.28 0.99 0.28 0.30 0.24 0.34 1.00 0.97 0.34 0.34 0.99 1.00 0.99 1.00 0.99 1.00 0.28 0.34 0.31 0.31 0.34 0.28 0.28 0.28 0.35 0.34 1.00 0.28 0.37 0.37 0.37 0.28
4ZHL_U 0.29 0.28 0.28 0.27 0.28 0.28 0.28 0.28 0.28 0.32 0.34 0.31 0.28 0.34 0.98 0.98 0.32 0.28 0.28 0.98 0.32 0.28 0.98 0.34 0.28 0.34 0.28 0.34 0.34 0.34 0.28 0.28 0.28 0.28 0.28 0.28 0.32 0.28 0.34 0.29 0.31 0.28 0.97 0.34 0.31 0.31 0.28 0.30 0.30 0.28 0.28 0.96 0.36 1.00 0.27 0.99 0.28 0.26 0.28 0.28 0.28 0.34 0.34 0.28 0.28 0.29 0.28 0.28 0.28 0.99 0.34 0.32 0.32 0.34 0.99 1.00 1.00 0.32 0.34 0.28 1.00 0.32 0.32 0.32 0.99
4ZJ4_A 0.36 0.38 0.37 0.37 0.37 0.38 0.37 0.37 0.36 0.38 0.36 0.38 0.35 0.36 0.32 0.32 0.37 0.38 0.37 0.31 0.36 0.37 0.32 0.36 0.38 0.36 0.36 0.36 0.36 0.36 0.37 0.37 0.37 0.37 0.38 0.37 0.35 0.38 0.36 0.33 0.40 0.36 0.33 0.38 0.36 0.36 0.37 0.32 0.31 0.37 0.37 0.33 0.35 0.32 0.36 0.32 0.32 0.28 0.33 0.37 0.36 0.38 0.38 0.38 0.37 0.37 0.37 0.37 0.37 0.32 0.38 0.32 0.32 0.36 0.32 0.32 0.32 0.66 0.38 0.37 0.32 1.00 1.00 1.00 0.32
4ZJ5_A 0.35 0.37 0.37 0.37 0.37 0.37 0.37 0.37 0.36 0.38 0.36 0.38 0.34 0.36 0.32 0.32 0.37 0.37 0.37 0.31 0.36 0.37 0.32 0.36 0.37 0.36 0.36 0.36 0.36 0.36 0.37 0.37 0.37 0.37 0.37 0.37 0.36 0.37 0.36 0.33 0.40 0.36 0.33 0.38 0.36 0.36 0.37 0.32 0.31 0.37 0.37 0.33 0.35 0.32 0.36 0.32 0.32 0.28 0.33 0.37 0.36 0.38 0.38 0.37 0.37 0.37 0.37 0.37 0.36 0.32 0.38 0.31 0.32 0.36 0.32 0.32 0.32 0.66 0.38 0.37 0.32 1.00 1.00 1.00 0.32
4ZJ6_A 0.35 0.37 0.37 0.37 0.37 0.37 0.37 0.37 0.36 0.38 0.36 0.38 0.34 0.36 0.32 0.32 0.37 0.37 0.37 0.31 0.36 0.37 0.32 0.36 0.37 0.36 0.36 0.36 0.36 0.36 0.37 0.37 0.37 0.37 0.37 0.37 0.36 0.37 0.36 0.33 0.40 0.36 0.33 0.38 0.36 0.36 0.37 0.32 0.31 0.37 0.37 0.33 0.35 0.32 0.36 0.32 0.32 0.28 0.33 0.37 0.36 0.38 0.38 0.37 0.37 0.37 0.37 0.37 0.36 0.32 0.38 0.32 0.32 0.36 0.32 0.32 0.32 0.66 0.38 0.37 0.32 1.00 1.00 1.00 0.32
4ZKS_U 0.28 0.28 0.28 0.27 0.28 0.28 0.28 0.28 0.27 0.32 0.34 0.30 0.27 0.34 0.98 0.98 0.32 0.28 0.28 0.97 0.32 0.28 0.98 0.34 0.28 0.34 0.27 0.34 0.34 0.34 0.27 0.28 0.28 0.28 0.28 0.28 0.32 0.28 0.34 0.29 0.31 0.28 0.97 0.34 0.30 0.30 0.28 0.30 0.29 0.28 0.28 0.97 0.36 0.99 0.27 0.99 0.28 0.26 0.27 0.27 0.27 0.34 0.34 0.28 0.28 0.28 0.28 0.28 0.28 0.99 0.34 0.31 0.31 0.34 0.99 0.99 0.99 0.32 0.34 0.28 0.99 0.32 0.32 0.32 1.00
