 1A3R_LH 1EJO_LH 1KC5_LH 1KCS_LH 1N64_LH 1PZ5_AB 1Q1J_HL 1SM3_HL 1TET_LH 1TJG_HL 1TJH_HL 1TJI_HL 1U8H_BA 1U8I_BA 1U8J_BA 1U8K_BA 1U8M_BA 1U8Q_BA 1U91_BA 1U92_BA 1U93_BA 1U95_BA 2B1A_HL 2B1H_HL 2CK0_LH 2FX7_HL 2G5B_AB 2HKF_LH 2P8L_BA 2R0W_LH 2R0Z_LH 2V17_LH 2Y07_HL 3BAE_LH 3C2A_IM 3D0L_BA 3D0V_BA 3E8U_LH 3EYF_CD 3FFD_BA 3G5V_AB 3GGW_CD 3GHB_IM 3GHE_HL 3H0T_BA 3HR5_LH 3IDG_BA 3IFL_LH 3IFN_LH 3LEX_BA 3LEY_LH 3MLR_HL 3MLS_KO 3MLT_HL 3MLV_NM 3MOA_HL 3O6L_LH 3O6M_LH 3QG6_LH 3SGE_IJ 3U0T_AB 3UJI_HL 3UJJ_HL 3UO1_LH 3UYR_LH 4DGY_HL 4GAG_LH 4HHA_BA 4HPO_HL 4HPY_HL 4HS6_LH 4IOI_AB 4JG0_HL 4JO1_MI 4JO2_MI 4N8C_MI 4OJF_LH 4ONF_LH 4ONG_LH 4P3D_BA 4QXU_LH 4TQE_LH 4TUJ_DC 4TUK_LH 4TUL_LH 4WHT_YX 4WY7_HL 4XBE_LH 4XCF_LH 4XH2_AB 4XXD_DE 4YO0_DC 4YR6_ED
4GAG_LH 0.71 0.77 0.80 0.71 0.71 0.67 0.24 0.23 0.72 0.22 0.22 0.22 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.24 0.24 0.74 0.23 0.73 0.70 0.23 0.73 0.71 0.69 0.23 0.72 0.24 0.23 0.23 0.76 0.57 0.53 0.77 0.74 0.23 0.23 0.25 0.58 0.23 0.76 0.75 0.79 0.79 0.23 0.23 0.23 0.23 0.22 0.74 0.74 0.80 0.73 0.57 0.26 0.24 0.71 0.71 0.23 1.00 0.23 0.25 0.25 0.73 0.57 0.22 0.51 0.51 0.68 0.56 0.73 0.73 0.72 0.72 0.72 0.71 0.73 0.73 0.65 0.23 0.57 0.56 0.24 0.60 0.49 0.71
4HHA_BA 0.23 0.23 0.24 0.23 0.24 0.24 0.59 0.52 0.24 0.72 0.72 0.72 0.70 0.70 0.70 0.71 0.70 0.70 0.70 0.71 0.70 0.70 0.57 0.57 0.24 0.79 0.23 0.24 0.70 0.23 0.22 0.24 0.46 0.24 0.59 0.71 0.70 0.22 0.26 0.24 0.22 0.23 0.59 0.61 0.56 0.27 0.71 0.23 0.23 0.23 0.22 0.56 0.56 0.54 0.55 0.72 0.22 0.23 0.23 0.23 0.25 0.55 0.57 0.24 0.23 0.88 0.23 1.00 0.55 0.63 0.26 0.25 0.84 0.24 0.24 0.23 0.25 0.22 0.22 0.23 0.23 0.24 0.22 0.23 0.23 0.23 0.77 0.27 0.27 0.82 0.25 0.24 0.23
4HPO_HL 0.26 0.26 0.28 0.26 0.26 0.23 0.72 0.56 0.25 0.50 0.50 0.50 0.50 0.50 0.50 0.51 0.50 0.50 0.50 0.51 0.50 0.50 0.78 0.78 0.26 0.57 0.26 0.25 0.51 0.25 0.25 0.27 0.59 0.24 0.72 0.52 0.51 0.24 0.27 0.27 0.26 0.24 0.71 0.73 0.79 0.28 0.51 0.25 0.24 0.26 0.24 0.74 0.74 0.75 0.75 0.51 0.26 0.25 0.26 0.25 0.28 0.81 0.79 0.24 0.24 0.55 0.25 0.55 1.00 0.73 0.28 0.27 0.55 0.26 0.26 0.27 0.29 0.25 0.25 0.25 0.25 0.25 0.25 0.26 0.26 0.24 0.57 0.29 0.30 0.57 0.28 0.25 0.24
4HPY_HL 0.25 0.25 0.27 0.26 0.26 0.23 0.77 0.59 0.25 0.52 0.52 0.52 0.51 0.51 0.51 0.51 0.51 0.51 0.51 0.51 0.51 0.51 0.72 0.72 0.25 0.57 0.26 0.25 0.51 0.26 0.26 0.25 0.55 0.26 0.77 0.53 0.51 0.24 0.27 0.25 0.24 0.24 0.76 0.78 0.74 0.27 0.51 0.27 0.26 0.25 0.24 0.73 0.73 0.72 0.71 0.52 0.25 0.26 0.26 0.24 0.27 0.76 0.80 0.24 0.24 0.62 0.25 0.63 0.73 1.00 0.28 0.27 0.61 0.26 0.26 0.26 0.27 0.25 0.24 0.25 0.24 0.24 0.24 0.24 0.24 0.24 0.57 0.27 0.28 0.62 0.28 0.25 0.26
4HS6_LH 0.58 0.59 0.64 0.61 0.55 0.54 0.26 0.24 0.55 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.27 0.27 0.58 0.26 0.58 0.56 0.26 0.58 0.57 0.58 0.26 0.57 0.27 0.27 0.26 0.57 0.73 0.48 0.61 0.56 0.26 0.27 0.28 0.81 0.27 0.59 0.60 0.63 0.63 0.26 0.26 0.26 0.26 0.27 0.57 0.57 0.62 0.57 0.70 0.29 0.27 0.57 0.57 0.26 0.73 0.26 0.28 0.28 1.00 0.79 0.25 0.52 0.52 0.55 0.73 0.57 0.56 0.56 0.56 0.55 0.55 0.56 0.56 0.57 0.27 0.74 0.75 0.28 0.75 0.44 0.59
4IOI_AB 0.60 0.60 0.59 0.56 0.58 0.60 0.26 0.24 0.56 0.25 0.25 0.25 0.26 0.26 0.25 0.26 0.25 0.26 0.26 0.26 0.26 0.25 0.27 0.27 0.62 0.26 0.63 0.60 0.26 0.56 0.54 0.62 0.24 0.55 0.27 0.26 0.26 0.56 0.76 0.50 0.55 0.59 0.26 0.27 0.28 0.86 0.26 0.55 0.56 0.56 0.56 0.24 0.24 0.25 0.25 0.25 0.60 0.60 0.56 0.61 0.71 0.27 0.26 0.60 0.60 0.26 0.57 0.25 0.27 0.27 0.79 1.00 0.26 0.53 0.53 0.57 0.79 0.59 0.59 0.60 0.60 0.59 0.56 0.56 0.56 0.61 0.27 0.76 0.76 0.25 0.78 0.48 0.57
4JG0_HL 0.25 0.25 0.25 0.24 0.26 0.24 0.60 0.51 0.24 0.71 0.71 0.71 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.70 0.56 0.56 0.25 0.77 0.26 0.24 0.70 0.23 0.23 0.26 0.46 0.24 0.60 0.70 0.69 0.23 0.26 0.26 0.24 0.22 0.59 0.61 0.56 0.27 0.70 0.23 0.24 0.24 0.24 0.55 0.55 0.53 0.55 0.71 0.26 0.26 0.23 0.25 0.28 0.54 0.56 0.24 0.24 0.84 0.22 0.84 0.55 0.61 0.25 0.26 1.00 0.24 0.24 0.24 0.27 0.24 0.24 0.24 0.24 0.24 0.23 0.23 0.23 0.24 0.76 0.28 0.28 0.83 0.28 0.26 0.23
4JO1_MI 0.50 0.53 0.50 0.48 0.51 0.51 0.26 0.25 0.50 0.22 0.22 0.22 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.25 0.25 0.52 0.25 0.53 0.49 0.23 0.48 0.47 0.50 0.26 0.47 0.26 0.23 0.23 0.49 0.50 0.46 0.46 0.50 0.26 0.27 0.28 0.54 0.23 0.48 0.49 0.49 0.49 0.24 0.24 0.25 0.24 0.23 0.50 0.50 0.50 0.51 0.50 0.27 0.26 0.50 0.50 0.24 0.51 0.24 0.26 0.26 0.52 0.53 0.24 1.00 0.97 0.49 0.52 0.51 0.51 0.50 0.50 0.48 0.49 0.49 0.49 0.51 0.25 0.52 0.51 0.24 0.53 0.47 0.49
4JO2_MI 0.50 0.53 0.50 0.48 0.51 0.50 0.26 0.26 0.51 0.22 0.22 0.22 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.25 0.25 0.52 0.24 0.53 0.49 0.23 0.49 0.47 0.49 0.26 0.48 0.27 0.23 0.23 0.49 0.50 0.46 0.47 0.50 0.26 0.27 0.27 0.53 0.23 0.48 0.49 0.50 0.48 0.24 0.24 0.25 0.25 0.22 0.50 0.51 0.50 0.51 0.50 0.28 0.27 0.50 0.50 0.24 0.51 0.24 0.26 0.26 0.52 0.53 0.24 0.97 1.00 0.48 0.52 0.51 0.52 0.50 0.51 0.49 0.49 0.50 0.49 0.52 0.25 0.51 0.51 0.24 0.54 0.48 0.50
4N8C_MI 0.82 0.73 0.71 0.65 0.78 0.67 0.25 0.21 0.72 0.21 0.21 0.20 0.22 0.22 0.22 0.21 0.22 0.22 0.22 0.21 0.22 0.22 0.26 0.26 0.73 0.22 0.75 0.70 0.21 0.73 0.72 0.71 0.22 0.71 0.26 0.21 0.20 0.72 0.55 0.45 0.66 0.70 0.26 0.26 0.27 0.58 0.22 0.70 0.70 0.74 0.74 0.24 0.24 0.24 0.24 0.21 0.70 0.70 0.72 0.71 0.59 0.26 0.27 0.71 0.71 0.23 0.68 0.23 0.27 0.26 0.55 0.57 0.24 0.49 0.48 1.00 0.57 0.70 0.70 0.71 0.72 0.75 0.79 0.80 0.80 0.62 0.22 0.58 0.58 0.22 0.57 0.47 0.64
4OJF_LH 0.58 0.62 0.55 0.53 0.59 0.66 0.26 0.25 0.61 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.26 0.25 0.25 0.25 0.26 0.25 0.27 0.27 0.63 0.26 0.62 0.65 0.25 0.60 0.59 0.61 0.24 0.59 0.27 0.26 0.26 0.56 0.76 0.51 0.53 0.65 0.26 0.27 0.29 0.83 0.26 0.59 0.59 0.64 0.64 0.26 0.26 0.26 0.26 0.25 0.72 0.71 0.61 0.70 0.77 0.28 0.26 0.66 0.66 0.25 0.56 0.25 0.29 0.27 0.73 0.79 0.27 0.52 0.52 0.57 1.00 0.75 0.74 0.67 0.68 0.61 0.60 0.61 0.60 0.66 0.26 0.74 0.74 0.26 0.88 0.50 0.53
4ONF_LH 0.74 0.77 0.71 0.62 0.74 0.76 0.24 0.22 0.77 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.24 0.24 0.78 0.24 0.78 0.78 0.21 0.75 0.74 0.72 0.22 0.74 0.24 0.22 0.21 0.73 0.59 0.60 0.67 0.81 0.23 0.25 0.26 0.62 0.21 0.76 0.76 0.81 0.79 0.24 0.23 0.24 0.24 0.21 0.91 0.91 0.76 0.87 0.63 0.26 0.24 0.80 0.80 0.24 0.73 0.22 0.25 0.25 0.57 0.59 0.24 0.51 0.51 0.70 0.75 1.00 0.99 0.85 0.84 0.77 0.75 0.76 0.76 0.77 0.24 0.56 0.56 0.23 0.68 0.56 0.68
4ONG_LH 0.72 0.77 0.70 0.61 0.73 0.76 0.23 0.23 0.78 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.23 0.23 0.78 0.23 0.77 0.78 0.21 0.74 0.72 0.71 0.23 0.73 0.23 0.21 0.21 0.73 0.59 0.60 0.68 0.80 0.23 0.24 0.26 0.62 0.21 0.75 0.75 0.80 0.79 0.23 0.23 0.23 0.24 0.21 0.90 0.91 0.76 0.86 0.63 0.26 0.23 0.79 0.79 0.23 0.73 0.22 0.25 0.24 0.56 0.59 0.24 0.51 0.52 0.70 0.74 0.99 1.00 0.84 0.83 0.76 0.75 0.76 0.77 0.77 0.23 0.56 0.56 0.23 0.69 0.56 0.69
4P3D_BA 0.72 0.78 0.71 0.63 0.75 0.78 0.24 0.21 0.81 0.21 0.21 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.24 0.24 0.77 0.24 0.78 0.81 0.22 0.80 0.78 0.74 0.21 0.78 0.24 0.22 0.22 0.74 0.58 0.59 0.68 0.80 0.24 0.25 0.25 0.65 0.22 0.81 0.81 0.76 0.75 0.23 0.23 0.22 0.23 0.22 0.87 0.87 0.78 0.83 0.60 0.25 0.24 0.83 0.83 0.24 0.72 0.23 0.25 0.25 0.56 0.60 0.24 0.50 0.50 0.71 0.67 0.85 0.84 1.00 0.99 0.85 0.76 0.78 0.78 0.73 0.23 0.56 0.56 0.23 0.68 0.55 0.67
4QXU_LH 0.71 0.78 0.71 0.63 0.75 0.78 0.24 0.21 0.81 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.24 0.24 0.76 0.24 0.77 0.81 0.22 0.79 0.77 0.74 0.21 0.78 0.25 0.22 0.22 0.74 0.58 0.59 0.68 0.80 0.25 0.25 0.26 0.66 0.22 0.81 0.81 0.76 0.75 0.23 0.23 0.22 0.23 0.22 0.87 0.87 0.78 0.84 0.60 0.25 0.24 0.84 0.83 0.24 0.72 0.23 0.25 0.24 0.56 0.60 0.24 0.50 0.51 0.72 0.68 0.84 0.83 0.99 1.00 0.85 0.76 0.77 0.77 0.72 0.24 0.56 0.56 0.23 0.68 0.54 0.67
4TQE_LH 0.80 0.70 0.70 0.62 0.76 0.74 0.25 0.22 0.81 0.20 0.21 0.20 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.24 0.25 0.74 0.24 0.74 0.77 0.21 0.78 0.77 0.69 0.21 0.77 0.25 0.21 0.20 0.74 0.55 0.51 0.68 0.76 0.24 0.25 0.27 0.61 0.21 0.81 0.80 0.75 0.74 0.24 0.24 0.24 0.24 0.20 0.79 0.78 0.77 0.78 0.63 0.25 0.24 0.79 0.78 0.24 0.72 0.24 0.25 0.24 0.55 0.59 0.24 0.48 0.49 0.75 0.61 0.77 0.76 0.85 0.85 1.00 0.79 0.80 0.80 0.67 0.24 0.58 0.58 0.21 0.63 0.49 0.66
4TUJ_DC 0.77 0.73 0.68 0.64 0.71 0.74 0.24 0.21 0.78 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.21 0.23 0.24 0.71 0.22 0.71 0.78 0.21 0.77 0.77 0.69 0.20 0.75 0.24 0.22 0.21 0.71 0.54 0.48 0.67 0.73 0.24 0.26 0.26 0.59 0.21 0.75 0.76 0.77 0.76 0.24 0.24 0.24 0.24 0.21 0.73 0.74 0.80 0.73 0.63 0.25 0.24 0.77 0.77 0.23 0.71 0.22 0.25 0.24 0.55 0.56 0.23 0.49 0.49 0.79 0.60 0.75 0.75 0.76 0.76 0.79 1.00 0.97 0.97 0.68 0.22 0.57 0.57 0.22 0.65 0.48 0.65
4TUK_LH 0.79 0.74 0.69 0.65 0.73 0.75 0.24 0.21 0.80 0.21 0.21 0.21 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.24 0.24 0.72 0.22 0.72 0.79 0.22 0.79 0.78 0.69 0.21 0.77 0.25 0.22 0.21 0.73 0.54 0.50 0.68 0.75 0.24 0.27 0.27 0.59 0.22 0.77 0.77 0.78 0.77 0.24 0.24 0.24 0.24 0.21 0.75 0.75 0.82 0.75 0.63 0.25 0.24 0.78 0.78 0.23 0.73 0.23 0.26 0.24 0.56 0.56 0.23 0.49 0.50 0.80 0.61 0.76 0.76 0.78 0.77 0.80 0.97 1.00 1.00 0.68 0.22 0.58 0.58 0.23 0.65 0.48 0.66
4TUL_LH 0.79 0.74 0.69 0.65 0.73 0.75 0.24 0.21 0.80 0.21 0.21 0.21 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.22 0.24 0.24 0.72 0.22 0.72 0.79 0.22 0.79 0.79 0.69 0.21 0.76 0.24 0.22 0.22 0.73 0.54 0.49 0.68 0.75 0.24 0.27 0.27 0.59 0.22 0.77 0.77 0.77 0.77 0.24 0.24 0.24 0.24 0.21 0.75 0.75 0.82 0.74 0.63 0.26 0.24 0.78 0.78 0.23 0.73 0.23 0.26 0.24 0.56 0.56 0.23 0.49 0.49 0.80 0.60 0.76 0.77 0.78 0.77 0.80 0.97 1.00 1.00 0.68 0.22 0.58 0.58 0.22 0.65 0.48 0.66
4WHT_YX 0.65 0.69 0.64 0.57 0.65 0.70 0.23 0.24 0.68 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.24 0.23 0.23 0.23 0.23 0.71 0.24 0.69 0.69 0.24 0.65 0.65 0.65 0.22 0.65 0.23 0.24 0.23 0.64 0.59 0.54 0.61 0.72 0.23 0.24 0.25 0.63 0.24 0.67 0.67 0.67 0.66 0.23 0.23 0.23 0.23 0.23 0.75 0.76 0.67 0.73 0.60 0.25 0.22 0.72 0.73 0.24 0.65 0.23 0.24 0.24 0.57 0.61 0.24 0.51 0.52 0.62 0.66 0.77 0.77 0.73 0.72 0.67 0.68 0.68 0.68 1.00 0.25 0.56 0.56 0.24 0.68 0.61 0.62
4WY7_HL 0.24 0.24 0.24 0.24 0.25 0.25 0.54 0.47 0.24 0.69 0.69 0.69 0.68 0.68 0.68 0.68 0.68 0.68 0.68 0.68 0.68 0.68 0.57 0.56 0.25 0.98 0.24 0.23 0.69 0.22 0.22 0.25 0.47 0.22 0.54 0.70 0.69 0.23 0.28 0.25 0.22 0.23 0.54 0.55 0.56 0.27 0.68 0.22 0.22 0.23 0.24 0.53 0.53 0.53 0.54 0.68 0.24 0.24 0.22 0.25 0.27 0.59 0.58 0.22 0.22 0.77 0.23 0.77 0.57 0.57 0.27 0.27 0.76 0.25 0.25 0.22 0.26 0.24 0.23 0.23 0.24 0.24 0.22 0.22 0.22 0.25 1.00 0.29 0.29 0.76 0.28 0.26 0.24
4XBE_LH 0.59 0.58 0.58 0.55 0.59 0.55 0.28 0.26 0.58 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.29 0.29 0.58 0.28 0.58 0.56 0.27 0.54 0.54 0.57 0.26 0.54 0.28 0.28 0.27 0.56 0.77 0.47 0.52 0.55 0.28 0.29 0.29 0.76 0.27 0.55 0.55 0.56 0.55 0.25 0.26 0.26 0.25 0.27 0.55 0.56 0.56 0.56 0.76 0.29 0.28 0.56 0.56 0.29 0.57 0.27 0.29 0.27 0.74 0.76 0.28 0.52 0.51 0.58 0.74 0.56 0.56 0.56 0.56 0.58 0.57 0.58 0.58 0.56 0.29 1.00 0.99 0.27 0.76 0.45 0.53
4XCF_LH 0.59 0.57 0.58 0.55 0.59 0.55 0.28 0.26 0.58 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.29 0.30 0.58 0.29 0.58 0.56 0.28 0.54 0.54 0.57 0.27 0.54 0.28 0.28 0.28 0.56 0.77 0.46 0.52 0.55 0.28 0.29 0.30 0.77 0.28 0.55 0.55 0.56 0.55 0.26 0.26 0.26 0.26 0.27 0.56 0.56 0.56 0.57 0.76 0.29 0.28 0.56 0.56 0.29 0.56 0.27 0.30 0.28 0.75 0.76 0.28 0.51 0.51 0.58 0.74 0.56 0.56 0.56 0.56 0.58 0.57 0.58 0.58 0.56 0.29 0.99 1.00 0.28 0.76 0.45 0.53
4XH2_AB 0.22 0.24 0.24 0.24 0.24 0.23 0.59 0.51 0.23 0.75 0.75 0.75 0.73 0.73 0.73 0.74 0.73 0.73 0.73 0.74 0.73 0.73 0.56 0.56 0.24 0.76 0.23 0.23 0.74 0.22 0.23 0.24 0.47 0.22 0.59 0.75 0.74 0.23 0.26 0.25 0.24 0.22 0.59 0.59 0.58 0.26 0.73 0.22 0.23 0.24 0.24 0.55 0.54 0.53 0.54 0.75 0.23 0.24 0.23 0.24 0.25 0.57 0.58 0.23 0.23 0.82 0.24 0.82 0.57 0.62 0.28 0.25 0.83 0.24 0.24 0.22 0.26 0.23 0.23 0.23 0.23 0.21 0.22 0.23 0.22 0.24 0.76 0.27 0.28 1.00 0.27 0.26 0.24
4XXD_DE 0.58 0.64 0.56 0.54 0.58 0.67 0.26 0.25 0.65 0.26 0.25 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.26 0.64 0.27 0.63 0.68 0.27 0.61 0.61 0.60 0.24 0.59 0.26 0.26 0.26 0.58 0.77 0.52 0.54 0.66 0.25 0.28 0.28 0.85 0.27 0.62 0.62 0.63 0.62 0.25 0.25 0.26 0.26 0.26 0.69 0.69 0.65 0.67 0.79 0.28 0.26 0.70 0.70 0.26 0.60 0.25 0.28 0.28 0.75 0.78 0.28 0.53 0.54 0.57 0.88 0.68 0.69 0.68 0.68 0.63 0.65 0.65 0.65 0.68 0.28 0.76 0.76 0.27 1.00 0.52 0.54
4YO0_DC 0.48 0.54 0.51 0.48 0.49 0.49 0.25 0.25 0.51 0.24 0.24 0.24 0.24 0.24 0.24 0.24 0.24 0.24 0.24 0.24 0.24 0.24 0.24 0.24 0.53 0.26 0.54 0.50 0.25 0.46 0.45 0.49 0.25 0.47 0.25 0.25 0.24 0.48 0.48 0.68 0.48 0.52 0.24 0.25 0.25 0.50 0.24 0.48 0.48 0.48 0.49 0.23 0.23 0.24 0.24 0.24 0.55 0.55 0.50 0.52 0.44 0.25 0.24 0.53 0.53 0.25 0.49 0.24 0.25 0.25 0.44 0.48 0.26 0.47 0.48 0.47 0.50 0.56 0.56 0.55 0.54 0.49 0.48 0.48 0.48 0.61 0.26 0.45 0.45 0.26 0.52 1.00 0.49
4YR6_ED 0.66 0.66 0.71 0.63 0.68 0.63 0.25 0.24 0.70 0.22 0.22 0.22 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.23 0.25 0.25 0.72 0.24 0.72 0.66 0.23 0.76 0.76 0.67 0.23 0.75 0.26 0.23 0.23 0.67 0.56 0.50 0.71 0.68 0.26 0.25 0.26 0.56 0.23 0.79 0.79 0.68 0.68 0.24 0.24 0.24 0.24 0.23 0.67 0.67 0.70 0.68 0.52 0.28 0.26 0.68 0.68 0.24 0.71 0.23 0.24 0.26 0.59 0.57 0.23 0.49 0.50 0.64 0.53 0.68 0.69 0.67 0.67 0.66 0.65 0.66 0.66 0.62 0.24 0.53 0.53 0.24 0.54 0.49 1.00
